한달내의 시기,계절,주말여부,화재발생시간대,시군구명,발화지점,날씨,온도,습도,시간단위풍속,특보내용,발화원인종합,출동소요시간,현장소방서거리,현장안전센터거리,전체인력수합계,화재진압시간,동원장비수,피해면적
월중순,봄,0,12~15,횡성군,산아래,맑음,17,30,225,,인간의 부주의,1317,30,21,173,12541,14,0.6
월중순,여름,0,9~12,춘천시,산정상,맑음,31,29,315,,미상,400,25,20,68,3200,7,0.1
월초,가을,0,18~21,화천군,산정상,맑음,18,34,225,,인간의 부주의,2100,57,21,70,4400,3,0.3
월초,가을,0,12~15,홍천군,산정상,맑음,21,31,225,,인간의 부주의,1227,18,18,58,13802,6,0.01
월중순,가을,0,12~15,인제군,산정상,맑음,14,19,180,,미상,1800,73,17,44,12700,6,0.01
월초,가을,0,15~18,화천군,산중턱,구름조금,14,63,135,,인간의 부주의,2937,57,22,299,10300,12,3.0
월중순,가을,1,21~24,인제군,산아래,맑음,-1,29,180,,인간의 부주의,801,72,12,85,41047,5,0.3
월말,겨울,0,0~3,홍천군,산정상,맑음,-10,73,45,,인간의 부주의,702,8,8,111,81725,13,0.1
월중순,겨울,0,15~18,홍천군,산정상,맑음,-1,22,315,,인간의 부주의,508,6,6,72,13800,14,0.03
월초,겨울,1,15~18,고성군,산정상,맑음,6,29,135,특보_건조,인간의 부주의,412,40,4,68,4142,12,0.2
월말,겨울,0,12~15,양구군,산아래,맑음,6,48,90,,인간의 부주의,712,63,18,113,3231,28,0.06
월중순,봄,1,18~21,삼척시,산중턱,맑음,18,30,270,,기계/전기/화학 요인,1300,40,10,85,5800,14,0.03
월중순,봄,0,15~18,철원군,산아래,맑음,13,71,90,,인간의 부주의,500,4,4,76,3500,8,0.15
월중순,봄,0,12~15,홍천군,산중턱,맑음,14,56,90,,인간의 부주의,2357,15,15,1264,43507,72,6.0
월중순,봄,0,12~15,횡성군,산정상,구름많음,17,57,90,,미상,1214,30,30,289,41427,20,1.5
월중순,봄,0,15~18,영월군,산아래,구름많음,19,40,135,,인간의 부주의,926,31,5,106,3942,7,0.05
월말,봄,0,12~15,동해시,산중턱,맑음,23,37,90,,인간의 부주의,620,15,7,92,4100,18,0.01
월말,봄,0,9~12,춘천시,산정상,맑음,19,56,315,,인간의 부주의,2221,24,19,155,5634,12,0.01
월초,봄,0,12~15,삼척시,산정상,맑음,16,68,45,,인간의 부주의,1700,57,20,146,14000,15,0.12
월초,봄,1,9~12,화천군,산아래,맑음,19,15,90,,인간의 부주의,3610,45,15,125,15250,11,0.1
월초,봄,1,12~15,원주시,산중턱,맑음,19,15,90,,미상,2357,19,12,67,3219,7,0.05
월초,봄,1,12~15,홍천군,산아래,맑음,24,12,225,,인간의 부주의,2559,23,23,28,1906,10,0.01
월초,봄,0,12~15,철원군,산중턱,맑음,24,20,225,,미상,2600,8,8,50,2400,6,0.05
월초,봄,0,15~18,평창군,산중턱,맑음,22,10,90,,미상,2646,45,12,140,25123,14,0.1
월말,봄,0,3~6,화천군,산정상,맑음,15,79,45,,인간의 부주의,1316,45,15,36,20248,7,0.04
월말,봄,1,15~18,평창군,산중턱,맑음,23,15,90,,인간의 부주의,4645,16,16,84,13237,20,0.2
월말,봄,1,12~15,영월군,산정상,비,18,62,270,,자연적 요인,1215,11,11,19,11158,6,0.1
월말,봄,1,15~18,홍천군,산중턱,흐림,21,68,225,,자연적 요인,2503,35,35,32,11524,4,0.01
월말,봄,1,15~18,삼척시,산정상,소나기,22,25,270,,미상,800,16,16,72,24000,7,0.01
월말,봄,0,9~12,홍천군,산정상,맑음,22,55,45,,자연적 요인,2355,7,7,65,13341,6,0.07
월말,봄,0,9~12,정선군,산정상,맑음,15,82,135,,미상,1000,23,13,58,20900,7,0.01
월말,봄,0,6~9,양구군,산중턱,비,17,78,45,,자연적 요인,1350,60,10,27,1852,2,0.01
월중순,여름,0,21~24,춘천시,산정상,구름많음,19,68,270,,인간의 부주의,700,5,5,196,12900,11,0.05
월중순,여름,0,9~12,춘천시,산중턱,맑음,29,37,45,,인간의 부주의,3400,30,30,181,2700,13,0.1
월말,여름,0,12~15,홍천군,산정상,맑음,20,82,90,,인간의 부주의,1028,17,17,55,51640,10,0.08
월말,여름,0,9~12,횡성군,산정상,구름많음,27,57,225,,인간의 부주의,1158,15,15,95,21533,16,0.7
월말,여름,0,3~6,원주시,산정상,맑음,23,50,180,,인간의 부주의,5426,30,12,98,20849,8,0.2
월중순,가을,1,12~15,속초시,산중턱,맑음,20,51,315,,인간의 부주의,1339,9,3,50,4738,8,0.01
월말,가을,1,12~15,원주시,산정상,맑음,21,52,180,,미상,4025,17,8,28,13105,10,0.03
월말,가을,0,9~12,춘천시,산정상,맑음,5,19,225,,인간의 부주의,800,8,8,33,3400,6,0.01
월말,겨울,0,9~12,삼척시,산아래,맑음,-8,42,45,,인간의 부주의,1300,59,23,385,23500,29,0.2
월중순,겨울,1,15~18,양양군,산아래,흐림,5,49,225,,인간의 부주의,1152,12,8,268,3554,14,0.1
월말,겨울,0,9~12,삼척시,산아래,구름많음,10,41,225,,인간의 부주의,410,37,2,242,10100,15,0.02
월초,봄,0,15~18,춘천시,산아래,맑음,11,54,135,,인간의 부주의,1200,29,15,118,5000,13,0.05
월초,봄,0,9~12,양양군,산아래,맑음,14,35,270,특보_건조,인간의 부주의,956,50,13,721,11618,21,1.0
월초,봄,1,12~15,춘천시,산아래,맑음,21,26,225,,인간의 부주의,3200,30,30,75,4300,7,0.3
월중순,봄,0,9~12,양구군,산아래,맑음,8,44,225,,인간의 부주의,1300,57,13,95,2600,5,0.1
월중순,봄,1,9~12,양양군,산아래,맑음,13,31,90,,인간의 부주의,2000,15,9,181,11100,24,0.2
월말,봄,1,12~15,원주시,산중턱,맑음,7,56,180,,미상,1129,21,8,73,4306,6,0.1
월말,봄,0,12~15,춘천시,산아래,맑음,15,13,225,,인간의 부주의,644,20,7,91,21710,13,4.0
월말,봄,0,15~18,홍천군,산아래,맑음,17,14,225,,인간의 부주의,445,3,3,206,3959,17,0.1
월말,봄,0,0~3,강릉시,산중턱,맑음,4,37,225,,방화 및 방화의심,504,2,2,22,2029,9,0.02
월초,봄,0,12~15,춘천시,미상,구름많음,15,19,180,,미상,1027,5,5,46,812,7,0.01
월말,봄,1,9~12,양양군,산중턱,맑음,16,54,90,,미상,859,36,5,154,13120,10,0.3
월말,봄,0,9~12,삼척시,산중턱,맑음,23,53,45,,인간의 부주의,300,18,18,94,30800,26,0.8
월초,봄,1,9~12,홍천군,산아래,맑음,18,39,315,,인간의 부주의,957,4,4,93,739,12,0.1
월초,봄,0,12~15,춘천시,산아래,맑음,24,30,225,,인간의 부주의,646,6,6,98,2703,20,0.1
월초,봄,0,9~12,속초시,산정상,맑음,24,32,270,,미상,300,10,4,46,15100,10,0.01
월초,봄,0,9~12,횡성군,산중턱,맑음,24,32,270,,인간의 부주의,908,18,12,102,20100,12,0.2
월중순,봄,1,12~15,삼척시,산정상,맑음,25,28,225,,인간의 부주의,132,10,10,149,13100,21,0.1
월중순,봄,0,9~12,홍천군,산중턱,맑음,23,32,90,,인간의 부주의,819,17,3,83,4022,6,0.05
월초,여름,0,0~3,춘천시,산아래,구름많음,19,88,45,,미상,1500,5,5,18,11500,6,0.02
월말,가을,0,12~15,춘천시,산중턱,구름많음,16,55,225,,인간의 부주의,2000,19,19,43,5700,8,0.05
월초,가을,0,21~24,양양군,산중턱,맑음,9,87,225,,인간의 부주의,1700,18,4,34,200,7,0.01
월말,가을,0,21~24,태백시,산정상,흐림,-1,78,270,,미상,2811,30,25,36,33722,8,0.05
월초,겨울,1,21~24,강릉시,산아래,맑음,7,38,315,특보_건조,미상,1015,8,4,39,2929,13,0.03
월초,겨울,0,12~15,양양군,산아래,구름조금,7,0,45,,미상,2142,28,6,234,2018,23,0.01
월중순,겨울,0,15~18,삼척시,산중턱,맑음,2,45,135,,인간의 부주의,500,41,4,180,15200,20,0.1
월중순,겨울,0,9~12,정선군,산중턱,맑음,6,50,225,,인간의 부주의,500,18,18,136,34000,18,0.2
월중순,겨울,1,18~21,원주시,산아래,맑음,-2,48,45,,인간의 부주의,1440,22,3,66,3020,6,0.02
월초,봄,0,9~12,원주시,산아래,맑음,10,60,315,,인간의 부주의,2934,27,27,53,924,13,0.1
월초,봄,0,12~15,원주시,산아래,맑음,10,25,315,,인간의 부주의,920,5,4,70,2918,10,0.06
월초,봄,0,9~12,영월군,산아래,맑음,2,17,315,특보_건조,인간의 부주의,732,12,20,411,90743,19,2.0
월초,봄,0,12~15,춘천시,산아래,맑음,5,23,315,,인간의 부주의,1308,21,9,58,10012,5,0.05
월초,봄,0,15~18,홍천군,산아래,맑음,5,13,225,,미상,1700,16,16,107,11734,10,0.2
월초,봄,0,9~12,화천군,평지,맑음,5,0,270,,인간의 부주의,448,40,5,95,11800,3,0.12
월말,봄,0,15~18,홍천군,산아래,맑음,16,0,180,,인간의 부주의,355,24,24,128,10032,9,0.2
월말,봄,0,18~21,양양군,산아래,맑음,15,31,225,특보_건조,기계/전기/화학 요인,854,13,7,615,5552,34,0.3
월말,봄,0,15~18,철원군,산중턱,맑음,21,27,225,,인간의 부주의,303,1,9,38,5627,10,0.03
월말,봄,0,15~18,홍천군,산중턱,맑음,22,19,270,,인간의 부주의,1256,47,26,104,11655,11,0.2
월말,봄,0,18~21,평창군,산아래,맑음,17,32,270,,미상,2922,48,27,263,12018,17,0.15
월초,봄,0,12~15,횡성군,산아래,구름조금,22,23,180,,기계/전기/화학 요인,1500,18,18,103,4900,68,0.2
월초,봄,0,12~15,영월군,산아래,맑음,23,24,270,,인간의 부주의,2200,38,19,145,4500,26,0.0
월초,봄,0,12~15,양구군,산아래,맑음,21,37,225,,인간의 부주의,1111,60,10,78,4110,10,0.05
월초,봄,0,15~18,철원군,산아래,구름조금,20,28,315,,인간의 부주의,133,1,7,71,3103,6,0.03
월중순,봄,0,12~15,춘천시,산중턱,구름조금,22,31,315,,인간의 부주의,0,30,30,73,5000,4,0.01
월중순,봄,0,15~18,원주시,산정상,구름조금,18,53,270,,인간의 부주의,2519,25,11,80,2402,8,0.1
월중순,봄,1,12~15,양구군,산중턱,맑음,12,0,45,특보_건조,인간의 부주의,2755,55,14,110,12504,7,0.2
월중순,봄,0,21~24,춘천시,산아래,구름조금,9,96,225,,미상,500,2,2,131,30800,6,0.09
월중순,봄,0,18~21,춘천시,산아래,비,14,93,315,,방화 및 방화의심,459,4,4,109,5901,3,0.03
월중순,봄,1,12~15,홍천군,산아래,구름조금,21,36,90,,인간의 부주의,3830,47,38,102,3535,12,0.2
월말,봄,0,12~15,영월군,산중턱,구름조금,21,29,225,,인간의 부주의,1348,25,6,133,14814,10,0.1
월말,봄,0,15~18,고성군,산중턱,맑음,16,31,180,,인간의 부주의,2011,14,13,119,2922,24,0.09
월말,봄,0,9~12,인제군,산중턱,구름조금,18,70,180,,인간의 부주의,1732,15,6,136,800,21,0.05
월말,봄,0,12~15,홍천군,산정상,맑음,23,13,315,,인간의 부주의,740,19,19,115,10323,25,0.5
월말,봄,0,12~15,춘천시,산중턱,맑음,23,18,135,,인간의 부주의,1000,38,10,156,5800,6,0.03
월말,봄,0,9~12,홍천군,산정상,맑음,20,34,315,,인간의 부주의,2956,42,9,395,93611,38,2.5
월말,봄,0,9~12,횡성군,산중턱,맑음,21,44,270,,미상,2132,21,13,201,14941,211,0.4
월말,봄,0,9~12,영월군,산중턱,맑음,23,24,135,,인간의 부주의,3838,46,20,150,15521,10,1.0
월말,봄,0,15~18,춘천시,산정상,맑음,26,19,270,,인간의 부주의,2100,22,16,94,4000,7,0.05
월말,봄,0,18~21,춘천시,산정상,맑음,23,18,270,,인간의 부주의,1900,30,10,87,1400,4,0.06
월말,봄,0,18~21,영월군,산중턱,맑음,16,70,180,,인간의 부주의,4000,35,10,112,4600,23,0.15
월말,봄,0,18~21,화천군,산아래,맑음,18,0,45,,인간의 부주의,421,50,5,58,14426,7,0.1
월말,봄,1,9~12,평창군,산중턱,구름조금,18,43,225,,인간의 부주의,2255,43,22,269,24518,11,0.3
월초,봄,1,18~21,홍천군,산정상,비,16,28,270,,인간의 부주의,827,9,9,94,14447,15,0.1
월초,봄,0,18~21,영월군,산아래,구름조금,18,23,225,,인간의 부주의,1203,9,9,288,4100,7,0.5
월초,봄,0,15~18,삼척시,산중턱,맑음,12,25,135,,인간의 부주의,2500,35,25,136,11800,14,0.3
월초,봄,1,15~18,영월군,산정상,맑음,27,21,180,,인간의 부주의,3243,22,22,128,22421,13,0.1
월중순,봄,1,15~18,인제군,산정상,흐림,17,72,45,,인간의 부주의,1701,15,15,53,5916,9,0.03
월중순,봄,0,18~21,정선군,산중턱,맑음,23,30,180,,인간의 부주의,2000,55,14,133,5600,16,0.1
월말,봄,0,9~12,삼척시,산정상,맑음,32,34,180,,인간의 부주의,2527,20,20,95,5500,12,0.3
월말,봄,1,15~18,평창군,산정상,맑음,33,22,270,,인간의 부주의,733,19,19,105,25610,12,0.5
월초,여름,0,15~18,원주시,산정상,맑음,23,68,45,,인간의 부주의,1200,8,8,52,4514,5,0.01
월중순,여름,1,12~15,인제군,산아래,맑음,28,20,45,,인간의 부주의,1727,18,18,124,15000,15,0.05
월중순,여름,0,15~18,인제군,평지,비,23,72,225,,인간의 부주의,1000,20,20,84,10600,7,0.04
월중순,가을,1,12~15,화천군,산중턱,맑음,25,0,135,,인간의 부주의,3900,48,16,122,40800,115,0.25
월말,가을,0,9~12,홍천군,산중턱,맑음,14,0,135,,인간의 부주의,755,25,25,41,22811,10,0.02
월말,가을,0,12~15,인제군,산중턱,맑음,17,46,315,,인간의 부주의,3513,47,18,56,23701,8,0.7
월말,가을,0,12~15,평창군,산중턱,맑음,19,33,180,,인간의 부주의,2143,20,20,109,30959,10,0.5
월초,가을,1,12~15,홍천군,산아래,맑음,14,0,180,,기계/전기/화학 요인,1749,36,22,50,11805,16,0.01
월중순,가을,0,9~12,양구군,평지,구름조금,9,56,90,,인간의 부주의,500,40,4,63,5400,4,0.05
월말,가을,1,6~9,양양군,산중턱,맑음,12,61,45,,미상,755,27,11,164,21324,24,1.0
월초,겨울,1,15~18,춘천시,산아래,맑음,3,34,225,,인간의 부주의,3318,68,71,88,10433,15,0.1
월초,겨울,1,12~15,삼척시,산아래,맑음,-10,26,135,특보_풍랑,인간의 부주의,1334,45,12,3743,32008,160,18.0
월말,겨울,0,12~15,원주시,산아래,맑음,6,30,270,특보_풍랑,인간의 부주의,642,8,6,96,11703,11,0.2
월초,봄,0,15~18,인제군,산정상,맑음,8,54,315,,인간의 부주의,414,14,4,124,5700,9,0.01
월초,봄,1,9~12,횡성군,산아래,구름조금,9,39,180,,인간의 부주의,452,30,13,67,3144,12,0.1
월초,봄,1,9~12,고성군,산아래,구름조금,8,61,90,,인간의 부주의,1515,22,14,529,21111,33,0.9
월초,봄,1,12~15,강릉시,산중턱,맑음,12,51,180,,인간의 부주의,932,6,7,100,5144,22,0.1
월초,봄,0,12~15,춘천시,산아래,맑음,8,21,315,,인간의 부주의,916,10,7,59,4900,7,0.01
월초,봄,0,12~15,춘천시,산아래,맑음,8,23,270,특보_한파,인간의 부주의,1853,6,6,261,14604,18,0.4
월중순,봄,0,15~18,강릉시,산아래,구름조금,5,42,270,특보_풍랑,인간의 부주의,1903,21,8,71,3334,13,0.1
월중순,봄,0,18~21,홍천군,산중턱,맑음,4,17,270,특보_풍랑,인간의 부주의,1713,16,16,76,4110,8,0.03
월중순,봄,1,12~15,양구군,산아래,맑음,7,29,315,,인간의 부주의,355,59,15,60,1513,4,0.07
월중순,봄,1,12~15,홍천군,산아래,맑음,10,15,90,,인간의 부주의,421,16,3,137,5634,15,0.8
월중순,봄,1,12~15,동해시,산아래,맑음,12,56,45,특보_건조,인간의 부주의,1225,10,6,263,23011,6,0.3
월중순,봄,0,15~18,삼척시,산아래,맑음,17,30,90,,인간의 부주의,1337,45,19,227,22000,18,0.5
월중순,봄,0,15~18,화천군,산아래,맑음,20,30,225,,인간의 부주의,929,55,10,54,5700,4,0.02
월말,봄,1,12~15,영월군,평지,맑음,7,30,45,,인간의 부주의,1252,35,8,117,12100,21,0.1
월말,봄,1,12~15,화천군,산중턱,맑음,12,14,45,,인간의 부주의,419,25,19,445,202300,15,11.0
월말,봄,1,12~15,횡성군,평지,맑음,15,7,315,,인간의 부주의,1040,29,17,337,34628,22,0.3
월말,봄,1,15~18,홍천군,산아래,맑음,11,12,315,,인간의 부주의,1051,24,24,319,41300,12,2.0
월말,봄,0,6~9,철원군,산아래,맑음,4,12,270,특보_풍랑,인간의 부주의,1200,11,11,71,2900,8,0.1
월말,봄,0,9~12,인제군,산중턱,맑음,8,14,180,특보_건조,인간의 부주의,2020,20,20,732,22600,21,3.0
월말,봄,0,15~18,홍천군,산정상,맑음,13,0,45,,인간의 부주의,1343,32,21,216,21106,13,0.2
월말,봄,0,12~15,홍천군,산아래,맑음,12,19,45,,인간의 부주의,1528,46,13,229,14801,11,0.1
월말,봄,0,15~18,삼척시,산아래,맑음,7,57,135,,인간의 부주의,1357,35,16,178,20000,11,0.2
월말,봄,0,15~18,평창군,산정상,맑음,13,9,180,,인간의 부주의,829,20,7,113,10308,9,0.2
월말,봄,0,18~21,홍천군,산정상,맑음,11,19,225,,인간의 부주의,1522,38,22,291,135323,14,2.9
월말,봄,0,18~21,춘천시,산아래,맑음,5,41,135,,인간의 부주의,2850,31,19,86,3615,12,0.05
월말,봄,0,9~12,삼척시,산중턱,맑음,14,32,180,,인간의 부주의,1000,10,10,783,25600,21,0.3
월말,봄,0,12~15,원주시,산아래,맑음,13,20,315,,인간의 부주의,1411,35,11,157,23519,13,1.5
월말,봄,1,12~15,평창군,산아래,구름조금,17,5,225,,미상,1546,20,0,520,43021,23,2.5
월말,봄,1,12~15,원주시,산아래,구름조금,16,39,135,,인간의 부주의,458,6,4,55,1653,5,0.05
월말,봄,1,12~15,춘천시,산아래,구름조금,18,29,180,,인간의 부주의,2029,30,17,58,1919,10,0.03
월말,봄,0,9~12,춘천시,산중턱,구름조금,19,28,270,,인간의 부주의,1054,21,6,111,22837,7,0.1
월초,봄,0,12~15,인제군,산정상,맑음,18,48,135,,인간의 부주의,200,11,3,70,3200,6,0.01
월중순,봄,1,15~18,철원군,산아래,맑음,13,55,90,,인간의 부주의,456,12,3,213,14542,12,0.2
월중순,봄,0,9~12,화천군,산중턱,맑음,12,0,90,특보_풍랑,미상,200,46,11,258,5100,3,0.3
월말,봄,0,9~12,고성군,산아래,구름조금,24,17,225,,기계/전기/화학 요인,1459,33,11,515,12721,17,0.5
월말,봄,0,15~18,인제군,미상,구름조금,21,17,225,,미상,2707,35,35,225,21800,20,1.0
월말,봄,0,12~15,정선군,산아래,맑음,21,18,270,,인간의 부주의,1255,27,27,160,10917,13,0.3
월말,봄,1,9~12,화천군,산정상,맑음,23,0,315,,인간의 부주의,3320,46,17,80,5843,8,0.2
월말,봄,1,18~21,강릉시,산아래,맑음,22,36,315,,기계/전기/화학 요인,909,36,6,314,50610,18,0.2
월말,봄,0,12~15,홍천군,산아래,맑음,26,12,270,,인간의 부주의,1511,26,10,328,35052,29,2.0
월초,봄,1,9~12,영월군,산정상,맑음,29,35,180,,인간의 부주의,2533,19,19,128,24936,10,0.03
월초,봄,1,15~18,강릉시,산정상,맑음,22,59,135,,미상,1226,26,11,70,10820,14,0.02
월초,봄,0,6~9,강릉시,산중턱,맑음,14,32,180,,인간의 부주의,1725,15,13,76,10900,13,0.01
월초,봄,0,9~12,강릉시,산중턱,맑음,15,46,270,,인간의 부주의,3037,32,30,229,14523,23,0.2
월초,봄,0,9~12,평창군,산정상,맑음,17,29,270,,인간의 부주의,1215,36,6,44,10622,6,0.1
월초,봄,0,15~18,횡성군,산정상,맑음,21,28,225,,인간의 부주의,1021,5,5,41,12428,9,0.01
월초,봄,0,12~15,춘천시,산아래,맑음,23,33,270,,인간의 부주의,1727,12,10,102,1224,13,0.01
월초,봄,0,12~15,춘천시,평지,맑음,24,33,225,,인간의 부주의,1941,16,12,80,2328,15,0.01
월초,봄,0,12~15,강릉시,산중턱,맑음,19,0,135,,인간의 부주의,5353,0,0,107,11409,16,0.1
월중순,봄,0,12~15,정선군,산중턱,맑음,21,41,225,,인간의 부주의,1322,40,13,105,25000,17,0.1
월중순,봄,1,15~18,홍천군,산아래,구름조금,21,22,270,,인간의 부주의,2400,53,41,131,21501,13,0.2
월말,봄,0,12~15,삼척시,산중턱,맑음,19,57,135,,인간의 부주의,814,28,20,335,74600,22,1.2
월말,봄,0,15~18,홍천군,산아래,맑음,28,20,270,,방화 및 방화의심,253,3,3,145,13111,14,1.0
월말,봄,0,15~18,영월군,산아래,맑음,27,26,270,,인간의 부주의,453,5,31,120,20424,9,0.04
월말,봄,0,18~21,강릉시,산정상,구름조금,20,34,315,특보_건조,인간의 부주의,5012,34,32,252,23842,23,0.7
월말,봄,0,0~3,횡성군,산정상,맑음,11,98,45,,인간의 부주의,3346,21,21,139,121217,9,0.5
월말,봄,0,15~18,평창군,산중턱,구름조금,29,17,225,,미상,753,17,0,141,12809,10,0.3
월말,봄,0,15~18,삼척시,산중턱,맑음,27,37,225,,인간의 부주의,2222,62,39,188,33900,16,0.25
월말,봄,1,9~12,삼척시,산아래,구름조금,21,55,90,,인간의 부주의,1302,42,37,211,15100,21,0.5
월말,봄,1,12~15,화천군,산중턱,맑음,27,0,180,,인간의 부주의,355,68,31,88,15643,5,0.03
월말,봄,1,12~15,화천군,산중턱,맑음,28,21,225,,인간의 부주의,1100,55,6,195,32820,9,0.06
월말,봄,1,18~21,횡성군,산정상,맑음,25,48,270,,인간의 부주의,1330,14,6,61,42933,7,0.15
월초,여름,0,15~18,춘천시,산중턱,맑음,22,49,135,,인간의 부주의,2646,24,10,79,3700,6,0.09
월초,여름,0,12~15,춘천시,산아래,맑음,26,24,270,,인간의 부주의,1632,40,15,237,44100,38,1.0
월초,여름,0,12~15,철원군,산아래,맑음,29,11,270,,인간의 부주의,535,7,14,124,31917,19,1.0
월초,여름,0,21~24,고성군,산중턱,맑음,18,65,270,특보_건조,미상,1603,7,7,89,2650,10,0.06
월초,여름,1,9~12,화천군,산정상,구름조금,24,0,135,,인간의 부주의,939,41,7,82,5000,3,0.01
월초,여름,0,15~18,인제군,산아래,구름조금,29,0,225,,인간의 부주의,623,26,11,66,3800,5,0.01
월초,여름,0,9~12,횡성군,산정상,맑음,32,31,270,,인간의 부주의,4053,27,27,144,34015,10,1.0
월초,여름,0,15~18,정선군,산아래,맑음,33,16,315,,인간의 부주의,1006,12,12,113,11900,13,0.4
월중순,여름,0,12~15,홍천군,산중턱,구름조금,32,19,225,,인간의 부주의,5758,25,25,95,13159,9,0.5
월중순,여름,0,12~15,인제군,산중턱,구름조금,26,49,180,,인간의 부주의,1714,10,10,74,11100,6,0.01
월중순,여름,0,12~15,화천군,산정상,구름조금,30,0,270,,인간의 부주의,728,25,14,115,13000,3,0.02
월중순,여름,0,15~18,춘천시,산중턱,맑음,30,43,180,,인간의 부주의,4422,43,43,51,13700,5,0.05
월말,여름,0,12~15,홍천군,산정상,맑음,31,30,270,,인간의 부주의,2340,13,13,55,4400,6,0.1
월말,가을,0,12~15,횡성군,산중턱,구름조금,22,61,45,,인간의 부주의,458,28,18,99,11833,13,0.03
월말,가을,1,9~12,춘천시,산중턱,맑음,22,50,270,,인간의 부주의,4508,25,23,55,4819,7,0.01
월말,가을,0,12~15,원주시,산중턱,구름조금,28,39,45,,인간의 부주의,2454,25,15,26,13302,5,0.05
월초,가을,0,15~18,철원군,산중턱,맑음,25,29,135,,방화 및 방화의심,219,1,1,114,11800,12,0.1
월중순,가을,0,15~18,정선군,산중턱,구름조금,23,22,45,,인간의 부주의,419,1,1,71,2932,13,0.05
월중순,가을,1,6~9,강릉시,산중턱,맑음,19,15,135,,미상,218,45,32,172,42844,23,0.8
월중순,가을,1,15~18,철원군,산정상,맑음,25,21,225,,자연적 요인,1840,15,10,11,20627,4,0.05
월말,가을,1,9~12,강릉시,산아래,구름조금,18,29,270,,기계/전기/화학 요인,3653,36,35,241,34428,21,0.5
월초,가을,1,15~18,홍천군,산정상,맑음,10,34,180,,미상,1358,65,31,101,13707,5,0.1
월초,가을,0,12~15,강릉시,산아래,맑음,16,27,270,,인간의 부주의,1143,14,2,91,2200,15,0.03
월초,가을,0,9~12,인제군,산아래,맑음,8,45,270,,인간의 부주의,1352,44,8,126,5246,11,0.2
월중순,겨울,1,12~15,횡성군,산아래,맑음,9,41,225,특보_풍랑,인간의 부주의,417,3,3,71,4414,12,0.03
월중순,겨울,0,12~15,양양군,산정상,맑음,0,0,45,,미상,2112,40,12,143,13700,20,0.1
월말,겨울,0,12~15,강릉시,산아래,맑음,10,49,135,,인간의 부주의,445,4,4,41,941,10,0.01
월초,겨울,0,15~18,고성군,산아래,맑음,20,22,270,,인간의 부주의,422,10,1,73,3919,12,0.06
